ID,Name,Description,Status,Area,Location Name,Parent Asset,Barcode,Category,Assigned To,Warranty Expiry Date,Additional Info,Serial Number,Workers,Teams names,Associated Parts,Vendor,Contractor
,Reactor-1,Continuous Stirred-Tank Reactor (CSTR),5000L CSTR for chemical synthesis,Operational,Reactor Building,Reactor Building,,R-001,Process Equipment,Process Engineer,01/01/2028,Stainless steel reactor with temperature control,R-001-12345,Process Team,Reactor Operations,Agitators, Siemens,
,Reactor-2,Batch Reactor System,2000L batch reactor for specialty chemicals,Operational,Reactor Building,Reactor Building,,R-002,Process Equipment,Process Engineer,01/01/2027,Glass-lined reactor with pressure control,R-002-67890,Process Team,Reactor Operations,Seals, Pfaudler,
,Distillation-Column-1,Fractional Distillation Column,50-tray distillation column for solvent recovery,Operational,Distillation Unit,Distillation Unit,,D-001,Process Equipment,Process Engineer,01/01/2029,High-efficiency distillation system,D-001-13579,Process Team,Distillation Operations,Packing Material, Sulzer,
,Distillation-Column-2,Vacuum Distillation Unit,Specialty vacuum distillation for heat-sensitive products,Operational,Distillation Unit,Distillation Unit,,D-002,Process Equipment,Process Engineer,01/01/2030,Vacuum distillation system,D-002-24680,Process Team,Distillation Operations,Vacuum Pumps, GEA,
,Tank-1,Chemical Storage Tank,10,000L stainless steel storage tank,Operational,Storage Tanks Area,Storage Tanks Area,,T-001,Storage Equipment,Storage Manager,01/01/2026,Double-walled storage tank,T-001-11223,Storage Team,Storage Operations,Level Sensors, Rosenmund,
,Tank-2,Acid Storage Tank,5,000L HDPE acid storage tank,Operational,Storage Tanks Area,Storage Tanks Area,,T-002,Storage Equipment,Storage Manager,01/01/2027,Corrosion-resistant acid tank,T-002-33445,Storage Team,Storage Operations,Valves, Plastilon,
,Tank-3,Solvent Recovery Tank,7,500L solvent recovery tank,Operational,Storage Tanks Area,Storage Tanks Area,,T-003,Storage Equipment,Storage Manager,01/01/2028,Solvent recovery system,T-003-55667,Storage Team,Storage Operations,Pumps, SWA,
,Pump-1,Centrifugal Process Pump,High-flow centrifugal pump for chemical transfer,Operational,Reactor Building,Reactor Building,,P-001,Pumps,Chemical Engineer,01/01/2025,Stainless steel centrifugal pump,P-001-77889,Process Team,Pump Operations,Seals, Grundfos,
,Pump-2,Diafragm Dosage Pump,Precision diaphragm pump for chemical dosing,Operational,Reactor Building,Reactor Building,,P-002,Pumps,Chemical Engineer,01/01/2026,High-precision dosing pump,P-002-99001,Process Team,Pump Operations,Diaphragms, Lewa,
,Pump-3,Vacuum Pump System,Vacuum pump for distillation processes,Operational,Distillation Unit,Distillation Unit,,P-003,Pumps,Chemical Engineer,01/01/2027,Industrial vacuum pump system,P-003-11223,Process Team,Pump Operations,Oil, Busch,
,Compressor-1,Process Air Compressor,Oil-free air compressor for instrument air,Operational,Reactor Building,Reactor Building,,C-001,Utilities,Maintenance Technician,01/01/2028,Instrument air compressor,C-001-33445,Maintenance Team,Utilities,Filters, Atlas Copco,
,Compressor-2,Nitrogen Generator,Nitrogen generation system for blanketing,Operational,Storage Tanks Area,Storage Tanks Area,,C-002,Utilities,Maintenance Technician,01/01/2029,Nitrogen generator system,C-002-55667,Maintenance Team,Utilities,Membranes, Parker,
,Analyzer-1,Gas Chromatograph,Process gas chromatograph for quality control,Operational,Laboratory,Laboratory,,A-001,Analytical Equipment,Lab Technician,01/01/2030,High-precision GC system,A-001-77889,Lab Team,Quality Control,Columns, Agilent,
,Analyzer-2,pH Meter System,Industrial pH measurement system,Operational,Laboratory,Laboratory,,A-002,Analytical Equipment,Lab Technician,01/01/2028,Continuous pH monitoring,A-002-99001,Lab Team,Quality Control,Electrodes, Metrohm,
,Safety-Shower-1,Emergency Safety Shower,Emergency drench shower for chemical exposure,Operational,Safety Equipment Room,Safety Equipment Room,,SS-001,Safety Equipment,Safety Officer,01/01/2026,ANSI-compliant safety shower,SS-001-11223,Safety Team,Safety Operations,Nozzles, Haws,
,Safety-Shower-2,Eyewash Station,Emergency eyewash station,Operational,Safety Equipment Room,Safety Equipment Room,,SS-002,Safety Equipment,Safety Officer,01/01/2027,Plumbed eyewash station,SS-002-33445,Safety Team,Safety Operations,Valves, Bradley,
,Scrubber-1,Wet Scrubber System,Air pollution control wet scrubber,Operational,Environmental Monitoring,Environmental Monitoring,,S-001,Environmental Equipment,Environmental Engineer,01/01/2029,Packed bed wet scrubber,S-001-55667,Environmental Team,Waste Treatment,Packing, Monroe,
,Scrubber-2,Activated Carbon Filter,Volatile organic compound (VOC) filter,Operational,Environmental Monitoring,Environmental Monitoring,,S-002,Environmental Equipment,Environmental Engineer,01/01/2030,Activated carbon adsorption system,S-002-77889,Environmental Team,Waste Treatment,Carbon, Calgon,
,Generator-1,Emergency Power Generator,Diesel backup generator for critical systems,Operational,Chemical Plant,Chemical Plant,,G-001,Utilities,Facilities Manager,01/01/2025,1000 kVA emergency generator,G-001-99001,Facilities Team,Utilities,Fuel System, Caterpillar,
,Generator-2,UPS System,Uninterruptible power supply for control systems,Operational,Control Room,Control Room,,G-002,Utilities,Facilities Manager,01/01/2026,Industrial UPS system,G-002-11223,Facilities Team,Utilities,Batteries, Eaton,