ID,Title,Status,Priority,Description,Due Date,Estimated Duration,Requires Signature,Category,Location Name,Team Name,Primary User,Assigned To,Asset Name,Completed By,Completed On,Archived,Feedback,Contractors
,1,Reactor preventive maintenance,Open,High,Regular maintenance on CSTR reactor system,1680000000,3.0,false,Maintenance,Reactor Building,Reactor Team,process1@example.com,technician1@example.com,technician2@example.com,Reactor-1,,,false,,,
,2,Distillation column inspection,Open,High,Inspect distillation column internals and packing,1680100000,4.0,false,Maintenance,Distillation Unit,Distillation Team,process2@example.com,technician3@example.com,technician4@example.com,Distillation-Column-1,,,false,,,
,3,Tank integrity testing,Open,High,Perform integrity testing on chemical storage tanks,1680200000,2.5,false,Safety,Storage Tanks Area,Safety Team,safety1@example.com,technician5@example.com,technician6@example.com,Tank-1,,,false,,,
,4,Pump seal replacement,Open,Medium,Replace worn pump seals on process pumps,1680300000,1.5,false,Maintenance,Reactor Building,Maintenance Team,maintenance1@example.com,technician7@example.com,Pump-1,,,false,,,
,5,Calibration of analytical equipment,Open,High,Calibrate gas chromatograph and pH meters,1680400000,2.0,false,Calibration,Laboratory,Lab Team,lab1@example.com,technician8@example.com,Analyzer-1,,,false,,,
,6,Safety shower inspection,Open,High,Test and inspect emergency safety showers,1680500000,1.0,false,Safety,Safety Equipment Room,Safety Team,safety1@example.com,technician9@example.com,Safety-Shower-1,,,false,,,
,7,Scrubber maintenance,Open,Medium,Maintain wet scrubber system and replace packing,1680600000,2.0,false,Maintenance,Environmental Monitoring,Environmental Team,environmental1@example.com,technician10@example.com,Scrubber-1,,,false,,,
,8,Generator test and inspection,Open,High,Test emergency generator and check fuel system,1680700000,1.5,false,Maintenance,Chemical Plant,Facilities Team,facilities1@example.com,technician11@example.com,Generator-1,,,false,,,
,9,Reactor temperature sensor calibration,Open,Medium,Calibrate temperature sensors on batch reactor,1680800000,1.0,false,Calibration,Reactor Building,Process Team,process1@example.com,technician1@example.com,Reactor-2,,,false,,,
,10,Distillation vacuum system check,Open,Medium,Inspect vacuum system on distillation column,1680900000,2.0,false,Maintenance,Distillation Unit,Distillation Team,process2@example.com,technician3@example.com,Distillation-Column-2,,,false,,,
,11,Tank level sensor replacement,Open,Medium,Replace faulty level sensors on storage tanks,1681000000,1.5,false,Maintenance,Storage Tanks Area,Storage Team,storage1@example.com,technician5@example.com,Tank-2,,,false,,,
,12,Compressor oil change,Open,High,Change oil and filters on process air compressor,1681100000,1.0,false,Maintenance,Reactor Building,Maintenance Team,maintenance1@example.com,technician7@example.com,Compressor-1,,,false,,,
,13,Environmental monitoring system calibration,Open,Medium,Calibrate environmental monitoring sensors,1681200000,2.5,false,Calibration,Environmental Monitoring,Environmental Team,environmental1@example.com,technician10@example.com,Scrubber-2,,,false,,,
,14,Safety equipment inspection,Open,High,Inspect all safety equipment and eyewash stations,1681300000,2.0,false,Safety,Chemical Plant,Safety Team,safety1@example.com,technician9@example.com,Safety-Shower-2,,,false,,,
,15,Process control system update,Open,Medium,Update control system software and test,1681400000,3.0,false,IT,Control Room,IT Team,it1@example.com,technician12@example.com,,,,false,,,